spb_raw_specintro,spb_doctors_count,auto_ssot,auto_ssot_slugs,confidence,manual_merge,examples,corpus_sample
Врач-эндоскопист,2,гастроэнтеролог; эндокринолог; эндоскопист; терапевт,гастроэнтеролог; эндокринолог; эндоскопист; терапевт,needs_review,,Белова Полина Александровна; Галанова Дарья Валерьевна,"эндоскопист | Врач-эндокринолог высшей категории, терапевт, гастроэнтеролог. Кандидат медицинских наук. | Врач-эндоскопист | Проведение эндоскопических исследований. | Белова Полина Александровна эндоскопист клиники «Источник»"
"Врач оториноларинголог (ЛОР), детский отоларинголог",2,лор (отоларинголог),лор,medium,лор (отоларинголог),Румянцева Елена Евгеньевна; Савин Максим Сергеевич,"Врач оториноларинголог (ЛОР) | Врач оториноларинголог (ЛОР), детский отоларинголог | Лечение заболеваний уха, горла, носа. Аудиометрия, тимпанометрия, диагностика отоакустической эмиссии и слуховых вызванных потенциалов. | Врач оториноларинголог (ЛОР) клиники ""Источник"""
"Главный врач, кандидат медицинских наук.",1,,,needs_review,,Тупиков Владислав Анатольевич,"| Главный врач | Главный врач, кандидат медицинских наук. | Организация, руководство и контроль за диагностической, лечебно-профилактической, санитарно-гигиенической, противоэпидемической работой медицинского учреждения | Тупиков Владислав Анатольевич | Главный врач клиники «Источник», Санкт-Петербу"
"Заместитель главного врача по клинико-экспертной работе, врач-ревматолог, кандидат медицинских наук.",1,ревматолог,ревматолог,high,ревматолог,Громова Ольга Александровна,"ревматолог | Заместитель главного врача по клинико-экспертной работе, врач-ревматолог, кандидат медицинских наук. | Диагностика и лечение заболеваний суставов и соединительных тканей | Громова Ольга Александровна ревматолог клиники «Источник» в Санкт-Петербурге"
"Врач-офтальмолог высшей квалификационной категории, лазерный хирург. Кандидат медицинских наук. Заместитель главного врача по поликлинике.",1,офтальмолог (окулист); лазерный хирург,офтальмолог; лазерный-хирург,medium,офтальмолог (окулист); лазерный хирург,Сусло Ирина Сергеевна,"офтальмолог | Врач-офтальмолог высшей квалификационной категории, лазерный хирург. Кандидат медицинских наук. Заместитель главного врача по поликлинике. | Взрослая и детская офтальмология, лазерные методы лечения органа зрения, офтальмоонкология. | Сусло Ирина Сергеевна офтальмолог клиники «Источник"
"Заместитель главного врача по ВРТ, врач — акушер-гинеколог, репродуктолог, врач ультразвуковой диагностики, кандидат медицинских наук.",1,акушер-гинеколог; узи-специалист; репродуктолог,акушер-гинеколог; узи-специалист; репродуктолог,needs_review,,Никитин Сергей Васильевич,"Заместитель главного врача по ВРТ, врач — акушер-гинеколог, репродуктолог, врач ультразвуковой диагностики, кандидат медицинских наук. | Лечение всех форм женского и мужского бесплодия с использованием вспомогательных репродуктивных технологий, ЭКО, ИКСИ, ПИКСИ. Планирование и ведение беременности, "
"Врач — акушер-гинеколог первой категории, репродуктолог, врач ультразвуковой диагностики.",1,акушер-гинеколог; узи-специалист; репродуктолог,акушер-гинеколог; узи-специалист; репродуктолог,needs_review,,Зейналова Айгюнь Элшановна,"репродуктолог | Врач — акушер-гинеколог первой категории, репродуктолог, врач ультразвуковой диагностики. | Лечение гинекологических заболеваний, лечение бесплодия, УЗИ малого таза, щитовидной железы, молочных желез. | Зейналова Айгюнь Элшановна репродуктолог клиники «Источник»"
"Врач — акушер-гинеколог, репродуктолог, врач ультразвуковой диагностики.",1,акушер-гинеколог; узи-специалист; репродуктолог,акушер-гинеколог; узи-специалист; репродуктолог,needs_review,,Ломова-Митрофанова Татьяна Юрьевна,"репродуктолог | Врач — акушер-гинеколог, репродуктолог, врач ультразвуковой диагностики. | Лечение всех видов бесплодия методами вспомогательных репродуктивных технологий, УЗИ-диагностика органов малого таза. | Ломова-Митрофанова Татьяна Юрьевна репродуктолог клиники «Источник»"
"Старший врач акушер-гинеколог отделения ВРТ, репродуктолог, врач ультразвуковой диагностики, врач высшей категории.",1,акушер-гинеколог; узи-специалист; репродуктолог,акушер-гинеколог; узи-специалист; репродуктолог,needs_review,,Койстрик Анна Вилоровна,"репродуктолог | Старший врач акушер-гинеколог отделения ВРТ, репродуктолог, врач ультразвуковой диагностики, врач высшей категории. | Лечение гинекологических заболеваний, ведение пациентов с проблемами бесплодия, привычным невынашиванием беременности, УЗИ органов малого таза. | Койстрик Анна Вилоро"
"Врач-акушер-гинеколог, репродуктолог, врач ультразвуковой диагностики.",1,акушер-гинеколог; узи-специалист; репродуктолог,акушер-гинеколог; узи-специалист; репродуктолог,needs_review,,Касумова Аида Рауфовна,"Врач-акушер-гинеколог, репродуктолог, врач ультразвуковой диагностики. | Лечение всех видов бесплодия методами вспомогательных репродуктивных технологий, УЗИ-диагностика органов малого таза. | Врач акушер-гинеколог, репродуктолог, кандидат медицинских наук в клинике ""Источник"""
"Врач акушер-гинеколог, репродуктолог, оперирующий гинеколог. Доктор медицинских наук, доцент кафедры акушерства и гинекологии с клиникой ФГБУ «НМИЦ им. В. А. Алмазова» Минздрава России.",1,акушер-гинеколог; репродуктолог,акушер-гинеколог; репродуктолог,medium,акушер-гинеколог; репродуктолог,Арутюнян Арутюн Феликсович,"Врач акушер-гинеколог, репродуктолог, оперирующий гинеколог. Доктор медицинских наук, доцент кафедры акушерства и гинекологии с клиникой ФГБУ «НМИЦ им. В. А. Алмазова» Минздрава России. | Лечение всех форм женского и мужского бесплодия с использованием вспомогательных репродуктивных технологий, ЭКО,"
Врач-генетик,1,генетик,генетик,high,генетик,Двойнова Наталья Михайловна,генетик | Врач-генетик | Медико-генетическое консультирование при планировании беременности и при беременности. | Двойнова Наталья Михайловна генетик клиники «Источник»
Психолог,1,психолог; терапевт,психолог; терапевт,medium,психолог; терапевт,Пикулёва Оксана Анатольевна,"Психолог, кандидат психологических наук. | Психолог | Психология | Психолог, логотерапевт, доктор психологических наук, профессор РГСУ"
"Психолог, кандидат психологических наук.",1,психолог,психолог,high,психолог,Всемирнова Юлия Владимировна,"психолог | Психолог, кандидат психологических наук. | Индивидуальное и супружеское психологическое консультирование | Всемирнова Юлия Владимировна психолог клиники «Источник»"
Врач-психотерапевт.,1,психотерапевт,психотерапевт,high,психотерапевт,Кэрролл Наталья Валериевна,психотерапевт | Врач-психотерапевт. | Психологическое консультирование и лечение психических расстройств. | Кэрролл Наталья Валериевна психотерапевт клиники «Источник»
"Уролог, уролог-андролог",1,андролог; уролог,андролог; уролог,medium,андролог; уролог,Довжанский Илия Васильевич,"Уролог, уролог-андролог | Урология, андрология | Врач-уролог, андролог"
"Уролог, уролог-андролог, врач ультразвуковой диагностики",1,узи-специалист; андролог; уролог,узи-специалист; андролог; уролог,needs_review,,Пислегин Андрей Вячеславович,"Уролог, уролог-андролог, врач ультразвуковой диагностики | Урология, андрология, ультразвуковая диагностика | Врач уролог, андролог, врач ультразвуковой диагностики"
"Заместитель главного врача по акушерству и гинекологии, врач акушер-гинеколог, кандидат медицинских наук.",1,акушер-гинеколог,акушер-гинеколог,high,акушер-гинеколог,Гафурова Дина Наилевна,"Заместитель главного врача по акушерству и гинекологии, врач акушер-гинеколог, кандидат медицинских наук. | Планирование и ведение беременности у женщин высокой группы риска по невынашиванию беременности и возникновению патологии матери и плода. Диагностика и лечение всего спектра гинекологических з"
"Врач — акушер-гинеколог высшей квалификационной категории, врач ультразвуковой диагностики, кандидат медицинских наук.",1,акушер-гинеколог; узи-специалист,акушер-гинеколог; узи-специалист,medium,акушер-гинеколог; узи-специалист,Егунян Анжела Шаликовна,"гинеколог | Врач — акушер-гинеколог высшей квалификационной категории, врач ультразвуковой диагностики, кандидат медицинских наук. | Лечение гинекологических заболеваний, ультразвуковая диагностика в акушерстве и гинекологии, лечение невынашивания беременности. | Егунян Анжела Шаликовна гинеколог кл"
"Врач — акушер-гинеколог, врач ультразвуковой диагностики, кандидат медицинских наук.",1,акушер-гинеколог; узи-специалист; эндокринолог,акушер-гинеколог; узи-специалист; эндокринолог,needs_review,,Суслова Елена Владимировна,"гинеколог | Врач — акушер-гинеколог, врач ультразвуковой диагностики, кандидат медицинских наук. | Лечение гинекологических заболеваний, УЗИ органов малого таза, щитовидной железы, молочных желез. Ведение пациенток с нарушением репродуктивной функции - невынашиванием беременности и бесплодием. Плани"
"Врач — акушер-гинеколог высшей квалификационной категории, врач ультразвуковой диагностики.",1,акушер-гинеколог; узи-специалист,акушер-гинеколог; узи-специалист,medium,акушер-гинеколог; узи-специалист,Герасимова Елена Анатольевна,"гинеколог | Врач — акушер-гинеколог высшей квалификационной категории, врач ультразвуковой диагностики. | Лечение гинекологических заболеваний и невынашивания беременности. Подготовка к беременности и ведение беременности. | Герасимова Елена Анатольевна гинеколог клиники «Источник»"
"Врач — акушер-гинеколог, врач ультразвуковой диагностики.",1,акушер-гинеколог; узи-специалист,акушер-гинеколог; узи-специалист,medium,акушер-гинеколог; узи-специалист,Фоос Оксана Вячеславовна,"гинеколог | Врач — акушер-гинеколог, врач ультразвуковой диагностики. | Лечение гинекологических заболеваний и невынашивания беременности. Подготовка к беременности и ведение беременности. | Фоос Оксана Вячеславовна гинеколог клиники «Источник»"
"Врач акушер-гинеколог, врач ультразвуковой диагностики",1,акушер-гинеколог; узи-специалист,акушер-гинеколог; узи-специалист,medium,акушер-гинеколог; узи-специалист,Бондарчук Людмила Валерьевна,"Врач акушер-гинеколог, врач ультразвуковой диагностики | Лечение гинекологических заболеваний, ИППП. Подготовка к беременности, ведение беременности, послеродовое наблюдение женщин. Менопаузальная гормональная терапия, заместительная гормональная терапия. | Врач акушер– гинеколог, врач УЗИ"
"Врач-акушер-гинеколог, врач ультразвуковой диагностики",1,акушер-гинеколог; узи-специалист,акушер-гинеколог; узи-специалист,medium,акушер-гинеколог; узи-специалист,Шиянова Екатерина Владиславовна,"Врач-акушер-гинеколог, врач ультразвуковой диагностики | Лечение гинекологических заболеваний, ИППП. Подготовка к беременности, ведение беременности, послеродовое наблюдение женщин. МГТ и ЗГТ. Ультразвуковая диагностика."
"Врач пренатальной ультразвуковой диагностики, врач акушер-гинеколог",1,акушер-гинеколог; узи-специалист,акушер-гинеколог; узи-специалист,medium,акушер-гинеколог; узи-специалист,Карасева Екатерина Александровна,"Врач пренатальной ультразвуковой диагностики, врач акушер-гинеколог | Ультразвуковая диагностика в акушерстве и гинекологии, консультативные приемы акушера-гинеколога. Ниже приведена минимальная цена исследования."
Врач ультразвуковой диагностики,1,узи-специалист,узи-специалист,medium,узи-специалист,Решанова Людмила Михайловна,"врач УЗИ | Врач ультразвуковой диагностики | Пренатальная диагностика, УЗИ в гинекологии (приведена минимальная цена исследования) | Решанова Людмила Михайловна врач УЗИ клиники «Источник»"
"Врач-терапевт, гемостазиолог",1,гемостазиолог; терапевт,гемостазиолог; терапевт,medium,гемостазиолог; терапевт,Фролова Надежда Васильевна,"гемостазиолог | Врач-терапевт, гемостазиолог | Неопухолевые заболевания системы крови. | Фролова Надежда Васильевна гемостазиолог клиники «Источник»"
